id,process_date,avg_price,min_price,max_price
268,20210930,6950750000000000000000,10500000000000000000000,6499000000000000000000
269,20211001,6104000000000000000000,5520000000000000000000,8000000000000000000000
270,20211002,6800714000000000000000,5650000000000000000000,9700000000000000000000
271,20211003,6144333000000000000000,5450000000000000000000,6999000000000000000000
272,20211004,7612846000000000000000,10000000000000000000000,9897000000000000000000
273,20211005,12810000000000000000000,12000000000000000000000,9000000000000000000000
274,20211006,6803600000000000000000,5450000000000000000000,9969000000000000000000
275,20211007,5425000000000000000000,5250000000000000000000,5525000000000000000000
276,20211008,6443000000000000000000,5450000000000000000000,9500000000000000000000
277,20211009,6564467000000000000000,5200000000000000000000,8888000000000000000000
278,20211010,7939750000000000000000,14999000000000000000000,9420000000000000000000
279,20211011,10665333000000000000000,22000000000000000000000,4998000000000000000000
280,20211012,6077833000000000000000,4985000000000000000000,7999000000000000000000
281,20211013,17056000000000000000000,4875000000000000000000,6199000000000000000000
282,20211014,6961667000000000000000,5887000000000000000000,7999000000000000000000
283,20211015,4998000000000000000000,4998000000000000000000,4998000000000000000000
284,20211016,7366000000000000000000,10300000000000000000000,5999000000000000000000
285,20211017,9771500000000000000000,11999000000000000000000,8888000000000000000000
286,20211018,9749500000000000000000,11500000000000000000000,7999000000000000000000
287,20211019,6468000000000000000000,4600000000000000000000,9999000000000000000000
288,20211020,6287000000000000000000,4750000000000000000000,8420000000000000000000
289,20211021,7338273000000000000000,4850000000000000000000,9999000000000000000000
290,20211022,7121750000000000000000,5488000000000000000000,8000000000000000000000
291,20211023,6898000000000000000000,4999000000000000000000,8797000000000000000000
292,20211024,6558091000000000000000,4850000000000000000000,9800000000000000000000
293,20211025,8642667000000000000000,15000000000000000000000,5678000000000000000000
294,20211026,6582833000000000000000,5000000000000000000000,8900000000000000000000
295,20211027,6586600000000000000000,4855000000000000000000,9495000000000000000000
296,20211028,7020667000000000000000,5899000000000000000000,8275000000000000000000
297,20211029,7496500000000000000000,10400000000000000000000,9500000000000000000000
298,20211030,6171162000000000000000,10000000000000000000000,9370000000000000000000
299,20211031,5325750000000000000000,3700000000000000000000,9700000000000000000000
300,20211101,6106150000000000000000,19000000000000000000000,9400000000000000000000
301,20211102,4681909000000000000000,3690000000000000000000,8888000000000000000000
302,20211103,5113667000000000000000,3420000000000000000000,8888000000000000000000
303,20211104,4188583000000000000000,3300000000000000000000,8400000000000000000000
304,20211105,5125500000000000000000,3470000000000000000000,6789000000000000000000
305,20211106,4911750000000000000000,3480000000000000000000,8249000000000000000000
306,20211107,4662000000000000000000,10000000000000000000000,5249000000000000000000
307,20211108,4450800000000000000000,3490000000000000000000,7888000000000000000000
308,20211109,4499400000000000000000,3695000000000000000000,5800000000000000000000
309,20211110,6565500000000000000000,10999000000000000000000,9500000000000000000000
310,20211111,5075375000000000000000,3495000000000000000000,7999000000000000000000
311,20211112,5955316000000000000000,28000000000000000000000,8997000000000000000000
312,20211113,4501952000000000000000,3250000000000000000000,8888000000000000000000
313,20211114,5376440000000000000000,19000000000000000000000,9999000000000000000000
314,20211115,4697000000000000000000,13000000000000000000000,5900000000000000000000
315,20211116,4308635000000000000000,10000000000000000000000,9888000000000000000000
316,20211117,4732840000000000000000,13000000000000000000000,9999000000000000000000
317,20211118,4537897000000000000000,3000000000000000000000,6888000000000000000000
318,20211119,4187444000000000000000,3495000000000000000000,6000000000000000000000
319,20211120,4703000000000000000000,3295000000000000000000,9797000000000000000000
320,20211121,4117818000000000000000,2900000000000000000000,5899000000000000000000
321,20211122,4698750000000000000000,3495000000000000000000,6397000000000000000000
322,20211123,4673417000000000000000,3333000000000000000000,6888000000000000000000
323,20211124,4619944000000000000000,12420000000000000000000,7250000000000000000000
